STATE,ACTIVITY LEVEL,ACTIVITY LEVEL LABEL,WEEKEND,WEEK,SEASON
TN,1,Minimal,2018-05-12,19,2017-18
DE,1,Minimal,2018-05-12,19,2017-18
IL,1,Minimal,2018-05-12,19,2017-18
TX,1,Minimal,2018-05-12,19,2017-18
DC,1,Minimal,2018-05-12,19,2017-18
WA,1,Minimal,2018-05-19,20,2017-18
MT,1,Minimal,2018-05-19,20,2017-18
CT,1,Minimal,2018-05-19,20,2017-18
AL,1,Minimal,2018-05-19,20,2017-18
MA,2,Minimal,2018-05-19,20,2017-18
AK,1,Minimal,2018-05-19,20,2017-18
KS,1,Minimal,2018-05-19,20,2017-18
PA,1,Minimal,2018-05-19,20,2017-18
OR,1,Minimal,2018-05-19,20,2017-18
ID,1,Minimal,2018-05-19,20,2017-18
MO,1,Minimal,2018-05-19,20,2017-18
IA,1,Minimal,2018-05-19,20,2017-18
AZ,3,Minimal,2018-05-19,20,2017-18
WV,1,Minimal,2018-05-19,20,2017-18
GA,2,Minimal,2018-05-19,20,2017-18
CO,1,Minimal,2018-05-19,20,2017-18
IN,1,Minimal,2018-05-19,20,2017-18
MN,1,Minimal,2018-05-19,20,2017-18
HI,1,Minimal,2018-05-19,20,2017-18
PR,1,Minimal,2018-05-19,20,2017-18
IL,1,Minimal,2018-05-19,20,2017-18
KY,1,Minimal,2018-05-19,20,2017-18
NV,1,Minimal,2018-05-19,20,2017-18
NY,1,Minimal,2018-05-19,20,2017-18
WY,1,Minimal,2018-05-19,20,2017-18
WI,1,Minimal,2018-05-19,20,2017-18
NJ,1,Minimal,2018-05-19,20,2017-18
OK,1,Minimal,2018-05-19,20,2017-18
LA,1,Minimal,2018-05-19,20,2017-18
NE,1,Minimal,2018-05-19,20,2017-18
ME,1,Minimal,2018-05-19,20,2017-18
VA,1,Minimal,2018-05-19,20,2017-18
NH,1,Minimal,2018-05-19,20,2017-18
DC,1,Minimal,2018-05-19,20,2017-18
TN,1,Minimal,2018-05-19,20,2017-18
MI,1,Minimal,2018-05-19,20,2017-18
NC,1,Minimal,2018-05-19,20,2017-18
NM,2,Minimal,2018-05-19,20,2017-18
TX,1,Minimal,2018-05-19,20,2017-18
DE,1,Minimal,2018-05-19,20,2017-18
CA,1,Minimal,2018-05-19,20,2017-18
MS,1,Minimal,2018-05-19,20,2017-18
SC,1,Minimal,2018-05-19,20,2017-18
VT,2,Minimal,2018-05-19,20,2017-18
FL,1,Minimal,2018-05-19,20,2017-18
MD,1,Minimal,2018-05-19,20,2017-18
AR,1,Minimal,2018-05-19,20,2017-18
RI,1,Minimal,2018-05-19,20,2017-18
ND,1,Minimal,2018-05-19,20,2017-18
SD,1,Minimal,2018-05-19,20,2017-18
UT,1,Minimal,2018-05-19,20,2017-18
OH,1,Minimal,2018-05-19,20,2017-18
ID,1,Minimal,2018-05-26,21,2017-18
MS,1,Minimal,2018-05-26,21,2017-18
CT,1,Minimal,2018-05-26,21,2017-18
TX,1,Minimal,2018-05-26,21,2017-18
KS,2,Minimal,2018-05-26,21,2017-18
IN,1,Minimal,2018-05-26,21,2017-18
FL,1,Minimal,2018-05-26,21,2017-18
WA,1,Minimal,2018-05-26,21,2017-18
GA,2,Minimal,2018-05-26,21,2017-18
CA,1,Minimal,2018-05-26,21,2017-18
NM,1,Minimal,2018-05-26,21,2017-18
PA,1,Minimal,2018-05-26,21,2017-18
ME,1,Minimal,2018-05-26,21,2017-18
NJ,1,Minimal,2018-05-26,21,2017-18
MD,1,Minimal,2018-05-26,21,2017-18
TN,1,Minimal,2018-05-26,21,2017-18
OR,1,Minimal,2018-05-26,21,2017-18
NC,1,Minimal,2018-05-26,21,2017-18
MA,2,Minimal,2018-05-26,21,2017-18
AL,1,Minimal,2018-05-26,21,2017-18
NY,1,Minimal,2018-05-26,21,2017-18
CO,1,Minimal,2018-05-26,21,2017-18
VT,1,Minimal,2018-05-26,21,2017-18
WV,1,Minimal,2018-05-26,21,2017-18
DE,1,Minimal,2018-05-26,21,2017-18
NH,1,Minimal,2018-05-26,21,2017-18
RI,1,Minimal,2018-05-26,21,2017-18
ND,1,Minimal,2018-05-26,21,2017-18
OK,1,Minimal,2018-05-26,21,2017-18
LA,1,Minimal,2018-05-26,21,2017-18
MN,1,Minimal,2018-05-26,21,2017-18
HI,1,Minimal,2018-05-26,21,2017-18
IA,1,Minimal,2018-05-26,21,2017-18
SD,1,Minimal,2018-05-26,21,2017-18
AK,1,Minimal,2018-05-26,21,2017-18
PR,2,Minimal,2018-05-26,21,2017-18
VA,1,Minimal,2018-05-26,21,2017-18
WI,1,Minimal,2018-05-26,21,2017-18
NV,1,Minimal,2018-05-26,21,2017-18
WY,1,Minimal,2018-05-26,21,2017-18
NE,1,Minimal,2018-05-26,21,2017-18
SC,1,Minimal,2018-05-26,21,2017-18
MT,1,Minimal,2018-05-26,21,2017-18
KY,1,Minimal,2018-05-26,21,2017-18
UT,1,Minimal,2018-05-26,21,2017-18
IL,1,Minimal,2018-05-26,21,2017-18
OH,1,Minimal,2018-05-26,21,2017-18
DC,1,Minimal,2018-05-26,21,2017-18
AZ,3,Minimal,2018-05-26,21,2017-18
MI,1,Minimal,2018-05-26,21,2017-18
MO,1,Minimal,2018-05-26,21,2017-18
AR,1,Minimal,2018-05-26,21,2017-18
OR,1,Minimal,2018-06-02,22,2017-18
ND,1,Minimal,2018-06-02,22,2017-18
CA,1,Minimal,2018-06-02,22,2017-18
AZ,3,Minimal,2018-06-02,22,2017-18
WV,1,Minimal,2018-06-02,22,2017-18
FL,1,Minimal,2018-06-02,22,2017-18
SD,1,Minimal,2018-06-02,22,2017-18
SC,1,Minimal,2018-06-02,22,2017-18
MA,1,Minimal,2018-06-02,22,2017-18
IL,1,Minimal,2018-06-02,22,2017-18
AL,1,Minimal,2018-06-02,22,2017-18
VA,1,Minimal,2018-06-02,22,2017-18
RI,1,Minimal,2018-06-02,22,2017-18
KS,1,Minimal,2018-06-02,22,2017-18
MS,1,Minimal,2018-06-02,22,2017-18
AR,1,Minimal,2018-06-02,22,2017-18
ME,1,Minimal,2018-06-02,22,2017-18
TX,1,Minimal,2018-06-02,22,2017-18
DC,1,Minimal,2018-06-02,22,2017-18
MI,1,Minimal,2018-06-02,22,2017-18
NV,1,Minimal,2018-06-02,22,2017-18
DE,1,Minimal,2018-06-02,22,2017-18
OK,1,Minimal,2018-06-02,22,2017-18
MT,1,Minimal,2018-06-02,22,2017-18
NJ,1,Minimal,2018-06-02,22,2017-18
OH,1,Minimal,2018-06-02,22,2017-18
NE,1,Minimal,2018-06-02,22,2017-18
NH,1,Minimal,2018-06-02,22,2017-18
VT,1,Minimal,2018-06-02,22,2017-18
MO,1,Minimal,2018-06-02,22,2017-18
ID,0,Insufficient Data,2018-06-02,22,2017-18
CT,1,Minimal,2018-06-02,22,2017-18
PA,1,Minimal,2018-06-02,22,2017-18
HI,1,Minimal,2018-06-02,22,2017-18
MD,1,Minimal,2018-06-02,22,2017-18
KY,1,Minimal,2018-06-02,22,2017-18
IN,1,Minimal,2018-06-02,22,2017-18
LA,1,Minimal,2018-06-02,22,2017-18
PR,1,Minimal,2018-06-02,22,2017-18
IA,1,Minimal,2018-06-02,22,2017-18
MN,1,Minimal,2018-06-02,22,2017-18
AK,1,Minimal,2018-06-02,22,2017-18
NY,1,Minimal,2018-06-02,22,2017-18
WA,1,Minimal,2018-06-02,22,2017-18
CO,1,Minimal,2018-06-02,22,2017-18
GA,2,Minimal,2018-06-02,22,2017-18
WI,1,Minimal,2018-06-02,22,2017-18
TN,1,Minimal,2018-06-02,22,2017-18
NM,3,Minimal,2018-06-02,22,2017-18
WY,1,Minimal,2018-06-02,22,2017-18
UT,3,Minimal,2018-06-02,22,2017-18
NC,1,Minimal,2018-06-02,22,2017-18
DE,1,Minimal,2018-06-09,23,2017-18
ID,0,Insufficient Data,2018-06-09,23,2017-18
NJ,1,Minimal,2018-06-09,23,2017-18
DC,1,Minimal,2018-06-09,23,2017-18
LA,1,Minimal,2018-06-09,23,2017-18
MI,1,Minimal,2018-06-09,23,2017-18
WI,1,Minimal,2018-06-09,23,2017-18
VT,2,Minimal,2018-06-09,23,2017-18
TN,1,Minimal,2018-06-09,23,2017-18
NV,1,Minimal,2018-06-09,23,2017-18
SC,1,Minimal,2018-06-09,23,2017-18
CA,1,Minimal,2018-06-09,23,2017-18
ME,1,Minimal,2018-06-09,23,2017-18
KY,1,Minimal,2018-06-09,23,2017-18
PA,1,Minimal,2018-06-09,23,2017-18
GA,1,Minimal,2018-06-09,23,2017-18
HI,1,Minimal,2018-06-09,23,2017-18
VA,1,Minimal,2018-06-09,23,2017-18
MS,1,Minimal,2018-06-09,23,2017-18
AR,1,Minimal,2018-06-09,23,2017-18
FL,1,Minimal,2018-06-09,23,2017-18
AZ,1,Minimal,2018-06-09,23,2017-18
KS,1,Minimal,2018-06-09,23,2017-18
TX,1,Minimal,2018-06-09,23,2017-18
MT,1,Minimal,2018-06-09,23,2017-18
IN,1,Minimal,2018-06-09,23,2017-18
IL,1,Minimal,2018-06-09,23,2017-18
NC,1,Minimal,2018-06-09,23,2017-18
SD,1,Minimal,2018-06-09,23,2017-18
WA,1,Minimal,2018-06-09,23,2017-18
ND,1,Minimal,2018-06-09,23,2017-18
WV,1,Minimal,2018-06-09,23,2017-18
CO,1,Minimal,2018-06-09,23,2017-18
AK,1,Minimal,2018-06-09,23,2017-18
RI,1,Minimal,2018-06-09,23,2017-18
MA,1,Minimal,2018-06-09,23,2017-18
MN,1,Minimal,2018-06-09,23,2017-18
NY,1,Minimal,2018-06-09,23,2017-18
UT,1,Minimal,2018-06-09,23,2017-18
CT,1,Minimal,2018-06-09,23,2017-18
NE,1,Minimal,2018-06-09,23,2017-18
NH,1,Minimal,2018-06-09,23,2017-18
MO,1,Minimal,2018-06-09,23,2017-18
AL,1,Minimal,2018-06-09,23,2017-18
WY,1,Minimal,2018-06-09,23,2017-18
PR,1,Minimal,2018-06-09,23,2017-18
OH,1,Minimal,2018-06-09,23,2017-18
IA,1,Minimal,2018-06-09,23,2017-18
MD,1,Minimal,2018-06-09,23,2017-18
NM,3,Minimal,2018-06-09,23,2017-18
OK,1,Minimal,2018-06-09,23,2017-18
OR,1,Minimal,2018-06-09,23,2017-18
PA,1,Minimal,2018-06-16,24,2017-18
CO,1,Minimal,2018-06-16,24,2017-18
WI,1,Minimal,2018-06-16,24,2017-18
MD,1,Minimal,2018-06-16,24,2017-18
WY,1,Minimal,2018-06-16,24,2017-18
SD,1,Minimal,2018-06-16,24,2017-18
NV,1,Minimal,2018-06-16,24,2017-18
TN,1,Minimal,2018-06-16,24,2017-18
TX,1,Minimal,2018-06-16,24,2017-18
IA,1,Minimal,2018-06-16,24,2017-18
NJ,1,Minimal,2018-06-16,24,2017-18
KS,1,Minimal,2018-06-16,24,2017-18
IN,1,Minimal,2018-06-16,24,2017-18
VA,1,Minimal,2018-06-16,24,2017-18
AZ,2,Minimal,2018-06-16,24,2017-18
NM,1,Minimal,2018-06-16,24,2017-18
KY,1,Minimal,2018-06-16,24,2017-18
PR,1,Minimal,2018-06-16,24,2017-18
HI,1,Minimal,2018-06-16,24,2017-18
MN,1,Minimal,2018-06-16,24,2017-18
ND,1,Minimal,2018-06-16,24,2017-18
CT,1,Minimal,2018-06-16,24,2017-18
ID,0,Insufficient Data,2018-06-16,24,2017-18
AK,1,Minimal,2018-06-16,24,2017-18
IL,1,Minimal,2018-06-16,24,2017-18
WV,1,Minimal,2018-06-16,24,2017-18
UT,1,Minimal,2018-06-16,24,2017-18
NE,1,Minimal,2018-06-16,24,2017-18
OH,1,Minimal,2018-06-16,24,2017-18
MI,1,Minimal,2018-06-16,24,2017-18
MT,1,Minimal,2018-06-16,24,2017-18
AR,1,Minimal,2018-06-16,24,2017-18
MO,1,Minimal,2018-06-16,24,2017-18
NY,1,Minimal,2018-06-16,24,2017-18
LA,1,Minimal,2018-06-16,24,2017-18
CA,1,Minimal,2018-06-16,24,2017-18
NH,1,Minimal,2018-06-16,24,2017-18
DC,2,Minimal,2018-06-16,24,2017-18
ME,1,Minimal,2018-06-16,24,2017-18
DE,1,Minimal,2018-06-16,24,2017-18
SC,1,Minimal,2018-06-16,24,2017-18
GA,1,Minimal,2018-06-16,24,2017-18
AL,1,Minimal,2018-06-16,24,2017-18
VT,1,Minimal,2018-06-16,24,2017-18
OR,1,Minimal,2018-06-16,24,2017-18
OK,1,Minimal,2018-06-16,24,2017-18
FL,1,Minimal,2018-06-16,24,2017-18
NC,1,Minimal,2018-06-16,24,2017-18
MA,1,Minimal,2018-06-16,24,2017-18
WA,1,Minimal,2018-06-16,24,2017-18
MS,1,Minimal,2018-06-16,24,2017-18
RI,1,Minimal,2018-06-16,24,2017-18
DC,1,Minimal,2018-06-23,25,2017-18
MA,1,Minimal,2018-06-23,25,2017-18
NE,1,Minimal,2018-06-23,25,2017-18
AK,1,Minimal,2018-06-23,25,2017-18
AR,1,Minimal,2018-06-23,25,2017-18
FL,1,Minimal,2018-06-23,25,2017-18
ID,0,Insufficient Data,2018-06-23,25,2017-18
MD,1,Minimal,2018-06-23,25,2017-18
ND,1,Minimal,2018-06-23,25,2017-18
CA,1,Minimal,2018-06-23,25,2017-18
SD,1,Minimal,2018-06-23,25,2017-18
SC,1,Minimal,2018-06-23,25,2017-18
KY,1,Minimal,2018-06-23,25,2017-18
NJ,1,Minimal,2018-06-23,25,2017-18
VA,1,Minimal,2018-06-23,25,2017-18
LA,1,Minimal,2018-06-23,25,2017-18
KS,1,Minimal,2018-06-23,25,2017-18
NY,1,Minimal,2018-06-23,25,2017-18
WI,1,Minimal,2018-06-23,25,2017-18
ME,1,Minimal,2018-06-23,25,2017-18
OR,1,Minimal,2018-06-23,25,2017-18
WV,1,Minimal,2018-06-23,25,2017-18
CT,1,Minimal,2018-06-23,25,2017-18
RI,1,Minimal,2018-06-23,25,2017-18
MT,1,Minimal,2018-06-23,25,2017-18
MI,1,Minimal,2018-06-23,25,2017-18
CO,1,Minimal,2018-06-23,25,2017-18
NV,1,Minimal,2018-06-23,25,2017-18
VT,1,Minimal,2018-06-23,25,2017-18
NH,1,Minimal,2018-06-23,25,2017-18
WA,1,Minimal,2018-06-23,25,2017-18
NC,1,Minimal,2018-06-23,25,2017-18
IL,1,Minimal,2018-06-23,25,2017-18
TX,1,Minimal,2018-06-23,25,2017-18
WY,1,Minimal,2018-06-23,25,2017-18
DE,1,Minimal,2018-06-23,25,2017-18
MN,1,Minimal,2018-06-23,25,2017-18
IN,1,Minimal,2018-06-23,25,2017-18
UT,1,Minimal,2018-06-23,25,2017-18
GA,1,Minimal,2018-06-23,25,2017-18
AZ,2,Minimal,2018-06-23,25,2017-18
PA,1,Minimal,2018-06-23,25,2017-18
NM,1,Minimal,2018-06-23,25,2017-18
HI,1,Minimal,2018-06-23,25,2017-18
MS,1,Minimal,2018-06-23,25,2017-18
IA,1,Minimal,2018-06-23,25,2017-18
MO,1,Minimal,2018-06-23,25,2017-18
TN,1,Minimal,2018-06-23,25,2017-18
AL,1,Minimal,2018-06-23,25,2017-18
OH,1,Minimal,2018-06-23,25,2017-18
PR,1,Minimal,2018-06-23,25,2017-18
NM,2,Minimal,2018-06-30,26,2017-18
WY,1,Minimal,2018-06-30,26,2017-18
ME,1,Minimal,2018-06-30,26,2017-18
MS,1,Minimal,2018-06-30,26,2017-18
VT,1,Minimal,2018-06-30,26,2017-18
OK,1,Minimal,2018-06-30,26,2017-18
GA,1,Minimal,2018-06-30,26,2017-18
DE,1,Minimal,2018-06-30,26,2017-18
VA,1,Minimal,2018-06-30,26,2017-18
UT,1,Minimal,2018-06-30,26,2017-18
WV,1,Minimal,2018-06-30,26,2017-18
FL,0,Insufficient Data,2018-06-30,26,2017-18
ID,0,Insufficient Data,2018-06-30,26,2017-18
HI,1,Minimal,2018-06-30,26,2017-18
PR,1,Minimal,2018-06-30,26,2017-18
KY,1,Minimal,2018-06-30,26,2017-18
AL,1,Minimal,2018-06-30,26,2017-18
AZ,1,Minimal,2018-06-30,26,2017-18
IL,1,Minimal,2018-06-30,26,2017-18
LA,1,Minimal,2018-06-30,26,2017-18
IN,1,Minimal,2018-06-30,26,2017-18
NY,1,Minimal,2018-06-30,26,2017-18
AK,1,Minimal,2018-06-30,26,2017-18
NC,1,Minimal,2018-06-30,26,2017-18
WA,1,Minimal,2018-06-30,26,2017-18
OR,1,Minimal,2018-06-30,26,2017-18
MN,1,Minimal,2018-06-30,26,2017-18
CT,0,Insufficient Data,2018-06-30,26,2017-18
NE,1,Minimal,2018-06-30,26,2017-18
CA,1,Minimal,2018-06-30,26,2017-18
RI,1,Minimal,2018-06-30,26,2017-18
SC,1,Minimal,2018-06-30,26,2017-18
MO,1,Minimal,2018-06-30,26,2017-18
ND,1,Minimal,2018-06-30,26,2017-18
MT,1,Minimal,2018-06-30,26,2017-18
CO,1,Minimal,2018-06-30,26,2017-18
NH,1,Minimal,2018-06-30,26,2017-18
AR,1,Minimal,2018-06-30,26,2017-18
DC,1,Minimal,2018-06-30,26,2017-18
MA,1,Minimal,2018-06-30,26,2017-18
PA,1,Minimal,2018-06-30,26,2017-18
KS,1,Minimal,2018-06-30,26,2017-18
NJ,1,Minimal,2018-06-30,26,2017-18
IA,1,Minimal,2018-06-30,26,2017-18
MD,1,Minimal,2018-06-30,26,2017-18
OH,1,Minimal,2018-06-30,26,2017-18
SD,1,Minimal,2018-06-30,26,2017-18
TN,1,Minimal,2018-06-30,26,2017-18
MI,1,Minimal,2018-06-30,26,2017-18
WI,1,Minimal,2018-06-30,26,2017-18
NV,1,Minimal,2018-06-30,26,2017-18
TX,1,Minimal,2018-06-30,26,2017-18
CA,1,Minimal,2018-07-07,27,2017-18
CT,0,Insufficient Data,2018-07-07,27,2017-18
RI,1,Minimal,2018-07-07,27,2017-18
NE,1,Minimal,2018-07-07,27,2017-18
WV,1,Minimal,2018-07-07,27,2017-18
SD,1,Minimal,2018-07-07,27,2017-18
MA,1,Minimal,2018-07-07,27,2017-18
IL,1,Minimal,2018-07-07,27,2017-18
PR,1,Minimal,2018-07-07,27,2017-18
WY,1,Minimal,2018-07-07,27,2017-18
TN,1,Minimal,2018-07-07,27,2017-18
NY,1,Minimal,2018-07-07,27,2017-18
AZ,2,Minimal,2018-07-07,27,2017-18
OH,1,Minimal,2018-07-07,27,2017-18
CO,1,Minimal,2018-07-07,27,2017-18
WA,1,Minimal,2018-07-07,27,2017-18
ME,1,Minimal,2018-07-07,27,2017-18
IN,1,Minimal,2018-07-07,27,2017-18
FL,1,Minimal,2018-07-07,27,2017-18
AK,1,Minimal,2018-07-07,27,2017-18
AR,1,Minimal,2018-07-07,27,2017-18
LA,1,Minimal,2018-07-07,27,2017-18
NJ,1,Minimal,2018-07-07,27,2017-18
OR,1,Minimal,2018-07-07,27,2017-18
WI,1,Minimal,2018-07-07,27,2017-18
PA,1,Minimal,2018-07-07,27,2017-18
MI,1,Minimal,2018-07-07,27,2017-18
NM,2,Minimal,2018-07-07,27,2017-18
MD,1,Minimal,2018-07-07,27,2017-18
GA,1,Minimal,2018-07-07,27,2017-18
HI,1,Minimal,2018-07-07,27,2017-18
KS,1,Minimal,2018-07-07,27,2017-18
SC,1,Minimal,2018-07-07,27,2017-18
MS,1,Minimal,2018-07-07,27,2017-18
IA,1,Minimal,2018-07-07,27,2017-18
DC,1,Minimal,2018-07-07,27,2017-18
MO,1,Minimal,2018-07-07,27,2017-18
MN,1,Minimal,2018-07-07,27,2017-18
ID,0,Insufficient Data,2018-07-07,27,2017-18
NH,1,Minimal,2018-07-07,27,2017-18
ND,1,Minimal,2018-07-07,27,2017-18
DE,1,Minimal,2018-07-07,27,2017-18
OK,1,Minimal,2018-07-07,27,2017-18
VT,1,Minimal,2018-07-07,27,2017-18
MT,1,Minimal,2018-07-07,27,2017-18
KY,1,Minimal,2018-07-07,27,2017-18
NV,1,Minimal,2018-07-07,27,2017-18
VA,1,Minimal,2018-07-07,27,2017-18
AL,1,Minimal,2018-07-07,27,2017-18
NC,1,Minimal,2018-07-07,27,2017-18
UT,1,Minimal,2018-07-07,27,2017-18
TX,1,Minimal,2018-07-07,27,2017-18
AL,1,Minimal,2018-07-14,28,2017-18
AR,1,Minimal,2018-07-14,28,2017-18
PA,1,Minimal,2018-07-14,28,2017-18
ND,1,Minimal,2018-07-14,28,2017-18
KY,1,Minimal,2018-07-14,28,2017-18
LA,1,Minimal,2018-07-14,28,2017-18
ID,0,Insufficient Data,2018-07-14,28,2017-18
NY,1,Minimal,2018-07-14,28,2017-18
IN,1,Minimal,2018-07-14,28,2017-18
GA,1,Minimal,2018-07-14,28,2017-18
MT,1,Minimal,2018-07-14,28,2017-18
NV,1,Minimal,2018-07-14,28,2017-18
AZ,1,Minimal,2018-07-14,28,2017-18
IL,1,Minimal,2018-07-14,28,2017-18
NM,1,Minimal,2018-07-14,28,2017-18
MD,1,Minimal,2018-07-14,28,2017-18
NH,1,Minimal,2018-07-14,28,2017-18
SC,1,Minimal,2018-07-14,28,2017-18
TX,1,Minimal,2018-07-14,28,2017-18
IA,1,Minimal,2018-07-14,28,2017-18
NC,1,Minimal,2018-07-14,28,2017-18
DC,1,Minimal,2018-07-14,28,2017-18
WI,1,Minimal,2018-07-14,28,2017-18
AK,1,Minimal,2018-07-14,28,2017-18
CA,1,Minimal,2018-07-14,28,2017-18
HI,1,Minimal,2018-07-14,28,2017-18
OK,1,Minimal,2018-07-14,28,2017-18
VA,1,Minimal,2018-07-14,28,2017-18
MO,1,Minimal,2018-07-14,28,2017-18
UT,1,Minimal,2018-07-14,28,2017-18
DE,1,Minimal,2018-07-14,28,2017-18
MS,1,Minimal,2018-07-14,28,2017-18
VT,1,Minimal,2018-07-14,28,2017-18
SD,1,Minimal,2018-07-14,28,2017-18
TN,1,Minimal,2018-07-14,28,2017-18
CT,0,Insufficient Data,2018-07-14,28,2017-18
OH,1,Minimal,2018-07-14,28,2017-18
WY,1,Minimal,2018-07-14,28,2017-18
PR,1,Minimal,2018-07-14,28,2017-18
ME,1,Minimal,2018-07-14,28,2017-18
NJ,1,Minimal,2018-07-14,28,2017-18
MA,1,Minimal,2018-07-14,28,2017-18
WV,1,Minimal,2018-07-14,28,2017-18
MI,1,Minimal,2018-07-14,28,2017-18
OR,1,Minimal,2018-07-14,28,2017-18
FL,1,Minimal,2018-07-14,28,2017-18
CO,1,Minimal,2018-07-14,28,2017-18
MN,1,Minimal,2018-07-14,28,2017-18
RI,1,Minimal,2018-07-14,28,2017-18
NE,1,Minimal,2018-07-14,28,2017-18
WA,1,Minimal,2018-07-14,28,2017-18
KS,1,Minimal,2018-07-14,28,2017-18
NM,1,Minimal,2018-07-21,29,2017-18
GA,1,Minimal,2018-07-21,29,2017-18
NV,1,Minimal,2018-07-21,29,2017-18
OH,1,Minimal,2018-07-21,29,2017-18
HI,1,Minimal,2018-07-21,29,2017-18
IL,1,Minimal,2018-07-21,29,2017-18
MI,1,Minimal,2018-07-21,29,2017-18
DC,1,Minimal,2018-07-21,29,2017-18
NE,1,Minimal,2018-07-21,29,2017-18
WV,1,Minimal,2018-07-21,29,2017-18
MT,1,Minimal,2018-07-21,29,2017-18
UT,1,Minimal,2018-07-21,29,2017-18
TN,1,Minimal,2018-07-21,29,2017-18
AR,1,Minimal,2018-07-21,29,2017-18
ID,0,Insufficient Data,2018-07-21,29,2017-18
AK,1,Minimal,2018-07-21,29,2017-18
VA,1,Minimal,2018-07-21,29,2017-18
DE,1,Minimal,2018-07-21,29,2017-18
SD,1,Minimal,2018-07-21,29,2017-18
MS,1,Minimal,2018-07-21,29,2017-18
MA,1,Minimal,2018-07-21,29,2017-18
IA,1,Minimal,2018-07-21,29,2017-18
KS,1,Minimal,2018-07-21,29,2017-18
MO,1,Minimal,2018-07-21,29,2017-18
NY,1,Minimal,2018-07-21,29,2017-18
WI,1,Minimal,2018-07-21,29,2017-18
TX,1,Minimal,2018-07-21,29,2017-18
NJ,1,Minimal,2018-07-21,29,2017-18
CO,1,Minimal,2018-07-21,29,2017-18
MN,1,Minimal,2018-07-21,29,2017-18
NH,1,Minimal,2018-07-21,29,2017-18
PA,1,Minimal,2018-07-21,29,2017-18
MD,1,Minimal,2018-07-21,29,2017-18
OK,1,Minimal,2018-07-21,29,2017-18
SC,1,Minimal,2018-07-21,29,2017-18
FL,1,Minimal,2018-07-21,29,2017-18
CA,1,Minimal,2018-07-21,29,2017-18
IN,1,Minimal,2018-07-21,29,2017-18
ND,1,Minimal,2018-07-21,29,2017-18
LA,1,Minimal,2018-07-21,29,2017-18
VT,1,Minimal,2018-07-21,29,2017-18
NC,1,Minimal,2018-07-21,29,2017-18
ME,1,Minimal,2018-07-21,29,2017-18
KY,1,Minimal,2018-07-21,29,2017-18
PR,1,Minimal,2018-07-21,29,2017-18
WY,1,Minimal,2018-07-21,29,2017-18
OR,1,Minimal,2018-07-21,29,2017-18
WA,1,Minimal,2018-07-21,29,2017-18
AL,1,Minimal,2018-07-21,29,2017-18
AZ,1,Minimal,2018-07-21,29,2017-18
CT,0,Insufficient Data,2018-07-21,29,2017-18
RI,1,Minimal,2018-07-21,29,2017-18
MD,1,Minimal,2018-07-28,30,2017-18
HI,1,Minimal,2018-07-28,30,2017-18
MN,1,Minimal,2018-07-28,30,2017-18
OK,1,Minimal,2018-07-28,30,2017-18
LA,1,Minimal,2018-07-28,30,2017-18
MO,1,Minimal,2018-07-28,30,2017-18
NY,1,Minimal,2018-07-28,30,2017-18
FL,1,Minimal,2018-07-28,30,2017-18
OH,1,Minimal,2018-07-28,30,2017-18
WA,1,Minimal,2018-07-28,30,2017-18
KS,1,Minimal,2018-07-28,30,2017-18
IN,1,Minimal,2018-07-28,30,2017-18
ME,1,Minimal,2018-07-28,30,2017-18
MI,1,Minimal,2018-07-28,30,2017-18
NJ,1,Minimal,2018-07-28,30,2017-18
CA,1,Minimal,2018-07-28,30,2017-18
DE,1,Minimal,2018-07-28,30,2017-18
OR,1,Minimal,2018-07-28,30,2017-18
MS,1,Minimal,2018-07-28,30,2017-18
SC,1,Minimal,2018-07-28,30,2017-18
NV,1,Minimal,2018-07-28,30,2017-18
VA,1,Minimal,2018-07-28,30,2017-18
IA,1,Minimal,2018-07-28,30,2017-18
SD,1,Minimal,2018-07-28,30,2017-18
CO,1,Minimal,2018-07-28,30,2017-18
IL,1,Minimal,2018-07-28,30,2017-18
AR,1,Minimal,2018-07-28,30,2017-18
GA,1,Minimal,2018-07-28,30,2017-18
MA,1,Minimal,2018-07-28,30,2017-18
MT,1,Minimal,2018-07-28,30,2017-18
PA,1,Minimal,2018-07-28,30,2017-18
WI,1,Minimal,2018-07-28,30,2017-18
NH,1,Minimal,2018-07-28,30,2017-18
VT,1,Minimal,2018-07-28,30,2017-18
UT,1,Minimal,2018-07-28,30,2017-18
TX,1,Minimal,2018-07-28,30,2017-18
NM,1,Minimal,2018-07-28,30,2017-18
AZ,1,Minimal,2018-07-28,30,2017-18
AK,1,Minimal,2018-07-28,30,2017-18
CT,0,Insufficient Data,2018-07-28,30,2017-18
ND,1,Minimal,2018-07-28,30,2017-18
TN,1,Minimal,2018-07-28,30,2017-18
WY,1,Minimal,2018-07-28,30,2017-18
AL,1,Minimal,2018-07-28,30,2017-18
DC,1,Minimal,2018-07-28,30,2017-18
RI,1,Minimal,2018-07-28,30,2017-18
KY,1,Minimal,2018-07-28,30,2017-18
PR,1,Minimal,2018-07-28,30,2017-18
NC,1,Minimal,2018-07-28,30,2017-18
NE,1,Minimal,2018-07-28,30,2017-18
WV,1,Minimal,2018-07-28,30,2017-18
ID,0,Insufficient Data,2018-07-28,30,2017-18
VT,1,Minimal,2018-08-04,31,2017-18
AZ,1,Minimal,2018-08-04,31,2017-18
